,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_cadence,average_watts,weighted_average_watts,kilojoules,device_watts,max_watts,workout_type,average_temp
0,2,"🌧 Afternoon toddle - wet, but puddles",1139.9,1208,1208,0.0,Hike,4614862093,activity_1610555607.tcx,4929273549.0,2021-01-13T16:34:31Z,2021-01-13T16:34:31Z,(GMT+00:00) Europe/London,0.0,"[52.8875, -1.298433]","[52.887683, -1.29874]",,,United Kingdom,52.8875,-1.298433,0,3,0,1,0,False,False,False,False,everyone,False,g6779208,False,4929273549,0.944,2.0,True,91.7,105.0,False,True,31.1,30.5,0,0,False,2.0,2265413,1,a4614862093,o{xaIfd|Fi@VETBVCFDHDd@Pn@Bd@DHL|@@h@HZLdA?RBBA\Hv@B`ABN@VDh@?NHrAALBH?b@DPAD?b@Bd@Nh@\n@TRLBJHZ@p@W^i@A?^u@Ne@MUMMCQGKQCC@EGYqAAAE?YNG?KIMu@A],2,,,,,,,,
1,2,"Lunch Activity - weights, cables and abs",0.0,1938,1938,0.0,Workout,4613631651,activity_1610539871.tcx,4927986531.0,2021-01-13T12:11:11Z,2021-01-13T12:11:11Z,(GMT+00:00) Europe/London,0.0,,,,,United Kingdom,,,0,3,0,1,0,True,False,False,False,everyone,False,,False,4927986531,0.0,0.0,True,107.2,113.0,False,True,,,0,0,False,5.0,2265413,1,a4613631651,,2,,,,,,,,
2,2,TDZ Stage 2: Standard Ride,24237.7,3054,3054,495.0,VirtualRide,4610229761,zwift-activity-726165484306414400.fit,4924429894.0,2021-01-12T18:02:46Z,2021-01-12T18:02:46Z,(GMT+00:00) Europe/London,0.0,"[47.271406, 11.396171]","[47.268605, 11.39609]",,,United Kingdom,47.271406,11.396171,11,7,0,1,0,False,False,False,False,everyone,False,b6605493,False,4924429894,7.936,25.3,True,144.6,168.0,False,True,695.8,278.8,6,1,False,53.0,2265413,1,a4610229761,guo_HaypdAJtAP^ZRtMjA`@KLo@Eu@oAeN[wBA_A^c@fE}@n@HxBfA^AXYVcALkAz@qL\a@hAi@pA{BvByEbBiG\?|Cp@j@SJm@?s@SqFQoBJw@t@g@lG{BdHcE~@{@|CuDVc@ZcAfBQjGoDbQoE\SVk@d@a@F_@?y@s@gHZcHE{BgAsIcA_E_@{ByAiL}BoYMmGFkEJkBV_B|AyDP}@DiBQ}E?aBHMRAV`@XfD|@nEj@jBXZXFl@]NeA_@mGRwC^gCbAuEt@{B`@g@jA]\o@Ty@Do@EyC[eMUuBgA_Gc@}DDy@j@qBxAsDb@}@\YbAIxEz@`C|@bBnAdAtAr@fBhBvIzAdGv@`Cp@jArAdA`FbBnBpAbDrC|AbCbAdAhK~DnB`A~AjA~HnGPf@M~BPVb@EdCuAr@GjD~BzD^`R`G~@h@lC|B`Ad@jK|BzAA|E{AfCOpAHnBd@|BfAtAt@bBxA|BhCzA|B`CtF~BpJrApErAjC~ApBzCrBfC~@pLdBrElAzDrCdBzBBb@WdAc@r@i@\gGz@iEV{DrAsBxAsHdHmCrBSVk@zAUPiCP{@\wC|D}CzB}@`AgBvCuE|IcAdAqAj@aC`@sDFeDi@g@?c@\mE|Jm@rCkAjJa@bA[TqBn@uCJsCnCwAl@{AXeB?aDeAgAG_@ZaDpF{DzEqDbCw@RuBaAsCFeAq@_F_A[]i@wA]c@c@MyB?_@c@Ky@D{BC{@Ow@wAaCaBaBuC}AuDoCmGiDgAUmA@}Ch@e@V]h@g@~A[^y@v@}@\}@?mBeAgA{Ao@eC_BwLu@aH}A_Ig@eGa@wA[Y}@[_AHeIhBuExAaEtB}AjAa@z@IhA`AhQz@xJlB|\j@`FrB`J?`@K\sAfAgE|AeCf@qBGk@Ne@b@cCvDoA|@gKpB{EMaBHmKnDqLnCS^Aj@X|D\t@AVeChEEn@BzAGf@a@p@mC~CwGbLI@K[JkD]_EYyBc@gAu@c@yA]u@a@}@yA_CiFo@w@_Ae@gBFQCMSH_B^kBPa@r@i@p@{@b@oACm@a@oA_AuAaA}@kL}GcBqAk@q@aCwFsCwEeAgCyEyOy@eEQcCH_@TITHhEvCjQh]fBvC`CfD`BjBnGnFjD`BxBBhT`Bb@KFS@y@KeB,2,89.4,205.9,218.0,628.8,True,307.0,,
3,2,Watopia,2802.1,326,468,4.0,VirtualRide,4609857013,zwift-activity-726160606451617456.fit,4924046056.0,2021-01-12T17:49:03Z,2021-01-12T17:49:03Z,(GMT+00:00) Europe/London,0.0,"[-11.637771, 166.949129]","[-11.647118, 166.961547]",,,United Kingdom,-11.637771,166.949129,2,4,0,1,0,False,False,False,False,everyone,False,b6605493,False,4924046056,8.595,12.6,True,110.0,122.0,False,True,4.8,-6.0,0,1,False,1.0,2265413,1,a4609857013,b_`fA_g~y^uAa@YU_@MSQa@QuAkAw@{@o@uAq@oBE_@OiB?OPw@JYb@q@j@g@XM`@]f@WdBkAl@g@Ve@BMA]CMOWg@e@mAs@W[EUBUFGb@OfAMDGDSEm@]iCCi@e@cDEaB@g@NmADSd@sAt@eAp@o@h@]h@Y|Ak@nA]`BYnJgA`C_@z@Sd@Sn@g@V_@Ra@hA_DP_@T[h@e@ZU\S~@_@tAKr@?`@F^H|@\f@\XVj@t@dA~At@bAf@f@d@ZAB,2,74.7,92.8,85.0,30.2,True,125.0,,
4,2,"⛅ Lunch Run - faster each km, but still steady",5042.0,1447,1450,19.5,Run,4608178470,activity_1610453507.tcx,4922297218.0,2021-01-12T12:11:47Z,2021-01-12T12:11:47Z,(GMT+00:00) Europe/London,0.0,"[52.887514, -1.298466]","[52.886856, -1.298701]",,,United Kingdom,52.887514,-1.298466,0,8,0,1,0,False,False,False,False,everyone,False,g6779208,False,4922297218,3.477,4.8,True,152.3,164.0,False,True,40.8,30.5,0,0,False,36.0,2265413,1,a4608178470,ehxaIj|{FJSFAj@F^PJ@FC\HTA^@r@NZT|@Hl@PRLh@f@Zf@h@l@b@d@TR`ChC\d@dAhAHLp@n@DNAt@SnABNPXVXxAt@^Nf@JXN\JXBZALBFBDFFPBvAL`B?p@Fz@F`CA^MrAEZo@nBi@|BUp@g@fCQpEMbBOzD_@rFCv@OdCk@fFCh@ClAKxAKfAMxBa@bD?^Ir@BZVz@F\JvBL|ABrAh@jH\lCt@nHGq@GsAm@_GQmAI_AIwAUoB]gHOiA[w@Eg@Fw@`@sCFgAh@cFJgCViDNeCJuCXuDX_FN{APkDP}Ah@oCh@uBb@mALo@HuA?S]_LCIg@W_BOo@YeBeAc@OKGMe@Cq@@SVqAAKGKiA{Ay@o@aAkAc@]gAwAiCyCQIa@Ie@Sg@Ki@g@MEMC_ADm@JSGSHQGK?W\,2,,,,,,,1.0,
5,2,"Lunch Activity - weights - shoulders, arms and chest",0.0,2517,2517,0.0,WeightTraining,4603184296,activity_1610366733.tcx,4917085903.0,2021-01-11T12:05:33Z,2021-01-11T12:05:33Z,(GMT+00:00) Europe/London,0.0,,,,,United Kingdom,,,0,3,0,1,0,True,False,False,False,everyone,False,,False,4917085903,0.0,0.0,True,99.5,121.0,False,True,,,0,0,False,6.0,2265413,1,a4603184296,,2,,,,,,,,
6,2,☁️ Morning toddle,1131.0,1142,1220,0.0,Hike,4602741392,activity_1610360148.tcx,4916620268.0,2021-01-11T10:15:49Z,2021-01-11T10:15:49Z,(GMT+00:00) Europe/London,0.0,"[52.887683, -1.298572]","[52.887675, -1.298703]",,,United Kingdom,52.887683,-1.298572,0,3,0,1,0,False,False,False,False,everyone,False,g6779208,False,4916620268,0.99,1.8,True,137.5,154.0,False,True,31.1,30.5,0,0,False,15.0,2265413,1,a4602741392,{oxaIt{|FCTIRAXGNAPMf@Wv@KJIV_@p@SLa@Fa@EYQMSM]MOAOKa@KsBCYCC?]Eq@@]Ee@QwE?AGFA_AASI]?IS}AIWE_@CEMqAAELSJIFB@AEGJC,2,,,,,,,,
7,2,☁️ Afternoon toddle,2037.4,2179,2206,0.0,Hike,4599362905,activity_1610292541.tcx,4913040262.0,2021-01-10T15:29:01Z,2021-01-10T15:29:01Z,(GMT+00:00) Europe/London,0.0,"[52.887782, -1.298899]","[52.887692, -1.298726]",,,United Kingdom,52.887782,-1.298899,0,5,0,1,0,False,False,False,False,everyone,False,g6779208,False,4913040262,0.935,1.7,True,104.0,120.0,False,True,31.1,30.2,0,0,False,6.0,2265413,1,a4599362905,apxaIlv{F\gBR}AFm@I[KIM@EASAW@g@AI@OC]?[COBCDQCCBEAEKECqA\K@QAMHEECOGEK@QDOAMCEBEACBICEB[EW?@CC?G@CBECK?YDWEIBGN?dAMx@U`@OLIPONC`@C@EN\`AFNPj@AHRz@Bf@Hl@D`ADf@EZFNTDPb@RTJFh@FTKJAPND`AX~BBb@DLBRFjBCXNTBP@h@Hb@@ZBJDzBFP@`AFt@@DLABDBl@XfABAJPPNh@TDCX?f@UX[?Ev@_BTkAPsA,2,,,,,,,,
8,2,☁️ Lunch Hike,277.7,220,220,0.0,Hike,4597475254,activity_1610280756.tcx,4911073111.0,2021-01-10T12:12:54Z,2021-01-10T12:12:54Z,(GMT+00:00) Europe/London,0.0,"[52.888769, -1.299529]","[52.887656, -1.298901]",,,United Kingdom,52.888769,-1.299529,0,1,0,1,0,False,False,False,False,everyone,False,g6779208,False,4911073111,1.262,2.8,True,122.3,140.0,False,True,31.1,30.6,0,0,False,0.0,2265413,1,a4597475254,wyxaI`y|FEoAMoAC}@,2,,,,,,,,
9,2,"⛅ Morning Run - z2 long and slow, had to stop cos I was going to do a paula Radcliffe",20135.0,6525,6838,88.8,Run,4597439273,activity_1610273890.tcx,4911033955.0,2021-01-10T10:18:12Z,2021-01-10T10:18:12Z,(GMT+00:00) Europe/London,0.0,"[52.887735, -1.298709]","[52.888679, -1.300487]",,,United Kingdom,52.887735,-1.298709,12,16,0,1,0,False,False,False,False,everyone,False,g6779208,False,4911033955,3.086,6.3,True,134.4,177.0,False,True,73.3,30.5,6,0,False,53.0,2265413,1,a4597439273,ghxaIr|{FTa@nDBp@Pd@b@fDhAhBpBj@`Ap@f@^l@jBjBd@z@`@RDp@YnBDf@xCrBfBb@lAILNNzAZxEAhF_ChIi@bDOnEgAvQy@jJg@tIu@xGh@jCDfBb@dHr@fJZzAbBrPx@pFBvAbFbd@AdAS~AmBlI_@|BQpOYZu@H_AKy@HoDi@wA@g@d@c@A_ANUX_Ab@y@DsA]}AN}CdE_BpEk@~@eADUOaANuBzBcAd@cASaCgA]?m@\_BxAo@jAc@vAa@|B{@zISdAm@n@oBNe@zCkBb@m@S_@J{AC_Au@{BXwA_@wBZq@|AI[QOcBa@o@G]PcFM_ESuT|B_AKcANk@Zk@Cy@X[QqAG}DN}@IqGgBgAKaQ^iHeAq@Lq@g@w@Ju@W_BTeAl@Sj@Et@DlBj@pErA`FN~B\rBZ~D|@vDb@h@N~@jAfDVXZzAr@h@f@rAzA`CJ^h@b@bA~A|@`Bt@lCBr@Ld@d@j@`Ad@|@zAj@b@fA|AdBzFNvADbGTnHI~HB|EB|@l@hDA`B_@z@m@VwAZeEzAw@p@qAHcB|ASC_@TQOGLn@ErBeAvBi@bCgARWbCo@bAw@`@GDsAs@uHHaFCuHUoGGyF]{CaAyDk@_AcB}B}BaCk@qBs@gBmAoB]{@_@a@[iAqAaB[cAu@s@i@mBy@_B}@mCy@k@KW[sE_AsEKyAo@yDYqCsAkI@gA^{@d@WxBYxCXdKxAdFStIAzATtCbAjC^zC]jEB|@[|De@xALrOeB|BHhBMbFXnAI~A\LPj@S`@a@jASbCNnBQn@b@jBVfCS^MP[RcBTYdCg@XY\wBp@}Gn@oDv@iBbCuBrAIbCbAf@Dh@YpA_B~@q@vBLf@Qj@w@p@wBh@}@~@aCp@u@z@g@|CFz@_@fBGjA_@Eg@ROhFj@zBCjAXh@KNS@{ELkHTwA|ByJRuCiC}U{Dk_@YsA?e@u@_HaAeLc@}HUsA[k@Ci@h@gEn@{IDeB~@iJt@aLb@sKr@aEfBkFDiEMkBQ{EOUqACyAa@}CwBMs@V{ACk@gAeBw@_A{@i@{FoHuAi@k@@k@e@q@S_AH{AU{@z@_@hBu@lH_ArGm@~AM~Bc@fCk@tBe@x@e@b@gAV_@YUa@YcAMoA,2,,,,,,,0.0,
